Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1725,FWS,2001,4/28/2001 0:00,4/28/2001 0:00,22530,RHILLWILD,Human,ARI,4,5
1726,FWS,2001,5/16/2001 0:00,5/16/2001 0:00,22530,BAILEY,Human,ARI,4,4
1727,FWS,2001,5/17/2001 0:00,5/17/2001 0:00,22530,MP13,Human,ARI,4,1
1728,FWS,2004,7/23/2004 0:00,7/23/2004 0:00,22530,INTREPID,Human,ARI,4,0.1
1729,FWS,2003,05-08-2003 00:00,05-09-2003 00:00,22530,ADOT,Human,ARI,4,7
1730,FWS,2005,12/29/2005 0:00,12/29/2005 0:00,22530,TRASH,Human,ARI,4,0.1
1731,FWS,2005,11/28/2005 0:00,11/28/2005 0:00,22530,MOSCA SIX-SHOT,Human,ARI,4,2
1732,FWS,2005,12/24/2005 0:00,12/24/2005 0:00,22530,KIM,Human,ARI,4,0.8
1733,FWS,2004,08-07-2004 00:00,08-08-2004 00:00,22530,GARCIA TANK,Human,ARI,4,0.1
1734,FWS,2004,8/30/2004 0:00,8/31/2004 0:00,22530,SLEEPY,Human,ARI,4,1
1735,FWS,2004,8/26/2004 0:00,8/26/2004 0:00,22530,POSIE VERDE,Human,ARI,4,1
1736,FWS,2004,8/26/2004 0:00,8/26/2004 0:00,22530,BAILEY,Human,ARI,4,1
1737,FWS,2005,1/20/2005 0:00,,22530,NORTH FORK POND,Human,ARI,4,1
1738,FWS,2005,1/31/2005 0:00,,22530,CAMP SITE 14,Human,ARI,4,0.5
1739,FWS,2005,6/14/2005 0:00,6/14/2005 0:00,22530,LINBERG RIDGE FIRE,Human,ARI,4,1
1740,FWS,2005,6/16/2005 0:00,6/16/2005 0:00,22530,TULLY,Human,ARI,4,1
1741,FWS,2005,07-12-2005 00:00,07-12-2005 00:00,22530,AROS,Human,ARI,4,5
1742,FWS,2006,11/23/2006 0:00,11/27/2006 0:00,22530,ASH PIT,Human,ARI,4,0.2
1743,FWS,2005,11-07-2005 00:00,11-07-2005 00:00,22530,ANTELOPE,Human,ARI,4,1
1744,FWS,2006,02-06-2006 00:00,02-06-2006 00:00,22530,CARRIZO ROAD,Human,ARI,4,1
1745,FWS,2006,02-09-2006 00:00,02-10-2006 00:00,22530,LILLY,Human,ARI,4,3
1746,FWS,2006,02-09-2006 00:00,02-10-2006 00:00,22530,CITY,Human,ARI,4,21
1747,FWS,2006,02-07-2006 00:00,02-07-2006 00:00,22530,ROAD FIRE,Human,ARI,4,0.5
1748,FWS,2006,02-07-2006 00:00,02-07-2006 00:00,22530,CARRIZO ROAD 2,Human,ARI,4,0.5
1749,FWS,2006,3/31/2006 0:00,3/31/2006 0:00,22530,MP18-286,Human,ARI,4,2.2
