Calamities,,,,,,,,,,
ID,COMPANY,UNIT,NAME,CAUSE,YEAR_,START_DATE,END_DATE,STATE,STATE_FIPS,AREA_AFFECTED(in ACRES)
12101,FWS,81664,TID 360,Human,2007,04-01-2007 00:00,04-02-2007 00:00,CAL,6,78.2
12108,FWS,13583,MORROW CPW,Human,2007,2/21/2007 0:00,2/21/2007 0:00,ORE,41,0.3
12115,FWS,22510,COTTONWOOD,Undetermined,2007,2/27/2007 0:00,2/27/2007 0:00,NM,35,3
12119,FWS,61546,SMITH LAKE FIRE,Human,2007,3/31/2007 0:00,3/31/2007 0:00,MON,30,1.1
12137,FWS,13520,WALLULA JD,Human,2007,05-10-2007 00:00,05-11-2007 00:00,WAS,53,0.3
12138,FWS,22530,ALAMITO,Human,2007,3/20/2007 0:00,3/21/2007 0:00,ARI,4,4
12151,FWS,13583,BEACH,Undetermined,2007,5/23/2007 0:00,5/23/2007 0:00,ORE,41,0.1
12160,FWS,22520,K-BEE,Human,2007,05-03-2007 00:00,05-03-2007 00:00,NM,35,0.1
12162,FWS,13583,COLUMBIA LANE,Human,2007,05-07-2007 00:00,05-07-2007 00:00,ORE,41,0.3
12164,FWS,13583,MCCORMACK,Undetermined,2007,5/23/2007 0:00,5/25/2007 0:00,ORE,41,45
12165,FWS,13510,CAMP,Human,2007,5/25/2007 0:00,5/25/2007 0:00,WAS,53,0.1
12176,FWS,13583,WEST 7TH,Human,2007,5/24/2007 0:00,5/24/2007 0:00,ORE,41,5
12183,FWS,14611,CAMAS,Human,2007,06-04-2007 00:00,06-05-2007 00:00,IDA,16,7
12190,FWS,13520,2ND ST. COMMAND,Human,2007,3/31/2007 0:00,3/31/2007 0:00,WAS,53,0.2
12191,FWS,13700,WAHLUKE TOWNSITE,Human,2007,5/26/2007 0:00,5/26/2007 0:00,WAS,53,0.2
12195,FWS,61543,REFUGE FIRE,Natural,2007,6/28/2007 0:00,6/29/2007 0:00,MON,30,0.1
12196,FWS,13583,AUTO LOOP,Undetermined,2007,7/16/2007 0:00,8/27/2007 0:00,ORE,41,0.7
12198,FWS,65511,UNIT 7,Natural,2007,04-04-2007 00:00,04-05-2007 00:00,COL,8,50.9
12203,FWS,81720,LAMPLIGHTER,Undetermined,2007,4/30/2007 0:00,4/30/2007 0:00,CAL,6,0.1
12206,FWS,14560,P6,Human,2007,6/21/2007 0:00,6/22/2007 0:00,IDA,16,1.5
12209,FWS,81655,LOST PLUMBER,Human,2007,6/13/2007 0:00,6/13/2007 0:00,CAL,6,1
12211,FWS,22530,BUENA,Human,2007,6/17/2007 0:00,6/20/2007 0:00,ARI,4,1151
12213,FWS,13583,BOARDMAN MP164,Undetermined,2007,04-01-2007 00:00,04-02-2007 00:00,ORE,41,0.8
12215,FWS,81672,CERRO,Undetermined,2007,07-05-2007 00:00,07-05-2007 00:00,CAL,6,1
12224,FWS,14622,HELEN,Natural,2007,06-01-2007 00:00,06-01-2007 00:00,ORE,41,0.1
12227,FWS,14621,S3,Natural,2007,07-09-2007 00:00,07-11-2007 00:00,NEV,32,16
12231,FWS,14614,GIFFORD SPRINGS,Human,2007,5/20/2007 0:00,5/20/2007 0:00,IDA,16,0.1
12232,FWS,81663,CHEVY,Human,2007,5/15/2007 0:00,5/16/2007 0:00,ORE,41,5.7
12233,FWS,81612,DEER CREEK,Undetermined,2007,3/19/2007 0:00,3/19/2007 0:00,CAL,6,300
12236,FWS,13520,HWY 730,Undetermined,2007,07-07-2007 00:00,07-07-2007 00:00,ORE,41,7.3
12239,FWS,13510,UPPER GOOSE,Natural,2007,7/13/2007 0:00,7/16/2007 0:00,WAS,53,2267
12240,FWS,81654,GARDNERS COVE #1,Undetermined,2007,5/13/2007 0:00,,CAL,6,1
12241,FWS,13510,SODA LAKE,Human,2007,07-02-2007 00:00,07-02-2007 00:00,WAS,53,1
12242,FWS,13520,PENINSULA,Human,2007,07-07-2007 00:00,07-09-2007 00:00,WAS,53,12
12251,FWS,13510,DELTA,Human,2007,07-06-2007 00:00,07-10-2007 00:00,WAS,53,54
12256,FWS,81621,WARE,Human,2007,07-04-2007 00:00,07-05-2007 00:00,CAL,6,3
12269,FWS,61520,GRAND ISLAND,Human,2007,4/27/2007 0:00,4/28/2007 0:00,MON,30,150
12270,FWS,13700,COLD CREEK,Natural,2007,7/18/2007 0:00,,WAS,53,0.1
12271,FWS,13583,COLUMBIA LANE,Undetermined,2007,08-10-2007 00:00,08-10-2007 00:00,ORE,41,0.3
12274,FWS,14621,KIOSK,Human,2007,06-11-2007 00:00,06-11-2007 00:00,NEV,32,0.1
12275,FWS,65512,BACA REFUGE,Natural,2007,7/13/2007 0:00,7/14/2007 0:00,COL,8,25
12277,FWS,13510,HURRICANE,Human,2007,6/25/2007 0:00,6/25/2007 0:00,WAS,53,1
12279,FWS,14622,BARNHARDY,Natural,2007,07-06-2007 00:00,07-07-2007 00:00,ORE,41,0.1
12282,FWS,65530,TINY NICHOLS,Natural,2007,08-12-2007 00:00,08-12-2007 00:00,UTA,49,0.5
12289,FWS,61170,BISON FIRE,Human,2007,07-04-2007 00:00,07-04-2007 00:00,COL,8,1.3
12290,FWS,14622,GOAT,Natural,2007,06-02-2007 00:00,06-03-2007 00:00,ORE,41,0.8
12293,FWS,13583,PATERSON,Natural,2007,7/13/2007 0:00,7/14/2007 0:00,WAS,53,14
12295,FWS,13510,CAMP 2,Human,2007,5/26/2007 0:00,5/26/2007 0:00,WAS,53,0.1
12299,FWS,81648,FABER/LAUMEISTER I,Undetermined,2007,6/15/2007 0:00,6/15/2007 0:00,CAL,6,1
12305,FWS,14621,LAST CHANCE FIRE,Natural,2007,8/29/2007 0:00,8/29/2007 0:00,NEV,32,1
12313,FWS,13561,CLIFF RIDGE,Natural,2007,09-01-2007 00:00,09-04-2007 00:00,WAS,53,0.1
12317,FWS,14621,ECHO,Natural,2007,7/17/2007 0:00,7/18/2007 0:00,NEV,32,242
12320,FWS,81655,SMOKING CHAIN,Human,2007,5/30/2007 0:00,5/30/2007 0:00,CAL,6,1
12322,FWS,22530,BAILEY WASH,Human,2007,05-12-2007 00:00,5/13/2007 0:00,ARI,4,5
12323,FWS,81666,PEARSON,Natural,2007,5/17/2007 0:00,5/18/2007 0:00,ORE,41,0.2
