Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
5/29/2005,5/30/2005,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,SOUTHWEST,F,F3,SP
06-01-2005,12-10-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,BELLTOWN
6/18/2005,9/23/2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
6/21/2005,6/23/2015,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,WALLINGFORD
07-04-2005,07-05-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F3,SP
7/25/2005,2/23/2009,THEFT-BUILDING,THEFT-BUILDING,SOUTH,S,S3,RB
7/26/2005,7/27/2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,U,U1,RR
08-01-2005,12/15/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,N,N2,NG
08-05-2005,08-05-2008,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,D,D3,SC
09-01-2005,3/19/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,C,C1,CA/SP
10-07-2005,3/21/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,K,K3,CI
10-12-2005,10-12-2005,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C2,MPB
10/21/2005,12/19/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,SC
11/18/2005,11/20/2015,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,RR
11/24/2005,11/25/2008,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,NORTH,N,N3,GREENWOOD
12-06-2005,12-06-2005,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTHWEST,F,F2,RWA
12-06-2005,12-06-2005,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,EAST,E,E1,CH
01-01-2006,09-09-2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,J,J2,BN
01-01-2006,05-02-2014,THEFT-ALL OTHER,THEFT-OTH,UNKNOWN,,,UNKNOWN
01-01-2006,09-05-2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
01-01-2006,6/13/2012,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,G,G3,ML
01-01-2006,1/24/2011,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,NORTH,U,U3,SANDPOINT
01-01-2006,8/20/2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L1,LAKECITY
01-01-2006,01-01-2006,DUI,DUI-LIQUOR,NORTH,L,L3,LAKECITY
01-01-2006,09-09-2011,RAPE,RAPE-STRONGARM,EAST,G,G2,CA/SP
01-01-2006,11-03-2014,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F1,HP
01-01-2006,9/19/2010,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S3,RV
01-01-2006,11-03-2014,RAPE,RAPE-STRONGARM,SOUTH,R,R1,NBH
01-01-2006,03-03-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,E,E2,CH
01-01-2006,04-11-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTHWEST,F,F2,RWA
01-01-2006,4/22/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,Q,Q3,QA
01-01-2006,02-05-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,DC
01-01-2006,7/28/2010,CAR PROWL,THEFT-LICENSE PLATE,SOUTHWEST,F,F3,HPC
01-01-2006,9/14/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,N,N2,NG
01-01-2006,5/18/2012,RAPE,RAPE-STRONGARM,SOUTH,R,R3,HC
01-01-2006,5/24/2012,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,EAST,G,G2,CA/SP
01-01-2006,10-12-2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,N,N3,NG
01-01-2006,4/19/2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S2,BD
01-01-2006,06-06-2013,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,UNKNOWN,,,UNKNOWN
1/13/2006,02-11-2016,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,FR
1/13/2006,1/13/2008,NARCOTIC,NARC-POSSESS-OTHER,WEST,K,K3,CI
1/15/2006,1/15/2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R2,NBH
1/22/2006,1/22/2009,NARCOTIC,NARC-SELL-COCAINE,WEST,K,K3,CI
1/25/2006,1/25/2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,W,W2,AJ
1/25/2006,1/26/2016,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
1/29/2006,1/30/2009,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S2,BD
1/31/2006,4/29/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S3,RB
02-01-2006,3/25/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L1,NG
2/14/2006,2/19/2013,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FH
2/14/2006,2/13/2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,CR
2/15/2006,2/20/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,J,J3,RR
03-01-2006,6/23/2009,THEFT-BICYCLE,THEFT-BICYCLE,WEST,K,K3,CI
03-01-2006,2/24/2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,WEST,D,D2,SC
3/22/2006,12/16/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,SP
3/31/2006,04-03-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,B,B1,BS
04-10-2006,03-03-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
04-11-2006,4/16/2016,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U3,SANDPOINT
04-11-2006,5/25/2011,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,DC
4/23/2006,4/23/2006,AGGRAVATED ASSAULT,ASSLT-AGG-POLICE-GUN,NORTH,N,N3,NG
4/29/2006,4/29/2009,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E2,CH
05-11-2006,5/18/2016,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,F,F3,HPC
5/17/2006,5/17/2006,HOMICIDE,HOMICIDE-PREMEDITATED-WEAPON,SOUTH,S,S1,NEW HOLLY
5/21/2006,5/21/2006,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,E,E3,CH
